title,author,stars,reviews,category_id,publishedDate,category_name
Draft Animals: Living the Pro Cycling Dream (Once in a While),Phil Gaimon,4.7,1274,9,2017-10-10,Biographies & Memoirs
Bedtime Adventure Stories for Grown Ups,Anna McNuff,4.5,1057,9,2021-05-09,Biographies & Memoirs
Long Road: Pearl Jam and the Soundtrack of a Generation,Steven Hyden,4.6,301,9,2022-09-27,Biographies & Memoirs
"Charlie's Good Tonight: The Life, the Times, and the Rolling Stones: The Authorized Biography of Charlie Watts",Paul Sexton,4.5,672,9,2022-10-11,Biographies & Memoirs
"To Anyone Who Ever Asks: The Life, Music, and Mystery of Connie Converse",Howard Fishman,4.9,42,9,2023-05-02,Biographies & Memoirs
Still Just a Geek: An Annotated Memoir,Wil Wheaton,4.6,536,9,2022-04-12,Biographies & Memoirs
My Friend Anna: The True Story of a Fake Heiress,Rachel DeLoache Williams,4.1,5951,9,2019-07-23,Biographies & Memoirs
"Bomb Shelter: Love, Time, and Other Explosives",Mary Laura Philpott,4.3,524,9,2022-04-12,Biographies & Memoirs
Unbalanced Behavior: True Story of the 1-10 Bandit,Martin Pelloquin,3.6,6,9,2023-07-18,Biographies & Memoirs
The Impossible City: A Hong Kong Memoir,Karen Cheung,4.3,147,9,2022-02-15,Biographies & Memoirs
"Into the Amazon: The Life of Cândido Rondon, Trailblazing Explorer, Scientist, Statesman, and Conservationist",Larry Rohter,4.7,25,9,2023-05-30,Biographies & Memoirs
"Gangbuster: One Man's Battle Against Crime, Corruption, and the Klan",Alan Prendergast,4.4,52,9,2023-03-28,Biographies & Memoirs
Long Train Runnin': Our Story of The Doobie Brothers,Pat Simmons,4.6,687,9,2022-05-10,Biographies & Memoirs
A Waiter in Paris: Adventures in the Dark Heart of the City,Edward Chisholm,4.3,837,9,2022-08-09,Biographies & Memoirs
Thank You for My Service,Mat Best,4.8,6388,9,2019-08-20,Biographies & Memoirs
